dataset_id,author,downloads,likes,created_at,last_modified,tags
yoshitomo-matsubara/srsd-feynman_hard,yoshitomo-matsubara,952,6,2022-06-08 06:22:25+00:00,2024-03-05 07:22:34+00:00,"task_categories:tabular-regression,annotations_creators:expert,language_creators:expert-generated,multilinguality:monolingual,source_datasets:extended,language:en,license:cc-by-4.0,size_categories:100K<n<1M,format:text,modality:text,library:datasets,library:mlcroissant,arxiv:2206.10540,doi:10.57967/hf/0761,region:us"
codelion/finepdfs-1B,codelion,914,4,2025-09-08 10:38:29+00:00,2025-11-02 15:56:38+00:00,"size_categories:100K<n<1M,format:parquet,modality:tabular,modality:text,library:datasets,library:dask,library:mlcroissant,library:polars,region:us"
wangrongsheng/BYouBa,wangrongsheng,891,0,2024-05-11 08:25:40+00:00,2024-05-11 08:26:20+00:00,"size_categories:10K<n<100K,format:json,modality:text,library:datasets,library:pandas,library:mlcroissant,library:polars,region:us"
voidful/earica_as,voidful,871,0,2025-06-13 14:45:29+00:00,2025-06-14 15:30:55+00:00,region:us
codelion/dclm-baseline-1B,codelion,840,6,2025-07-07 12:03:06+00:00,2025-11-02 15:56:41+00:00,"size_categories:100K<n<1M,format:parquet,modality:text,library:datasets,library:dask,library:mlcroissant,library:polars,region:us"
zai-org/Vision2Web,zai-org,836,18,2026-03-29 15:39:37+00:00,2026-03-30 04:14:38+00:00,"task_categories:text-generation,language:en,license:apache-2.0,size_categories:n<1K,format:parquet,modality:image,modality:tabular,modality:text,library:datasets,library:pandas,library:polars,library:mlcroissant,arxiv:2603.26648,region:us,agent"
wandb/finqa-data-processed-hallucination,wandb,809,0,2024-12-01 22:03:45+00:00,2024-12-01 22:50:28+00:00,"size_categories:10K<n<100K,format:parquet,modality:text,library:datasets,library:pandas,library:mlcroissant,library:polars,region:us"
voidful/all_conv_data_filtered_v2,voidful,785,0,2024-12-14 19:33:04+00:00,2024-12-14 20:09:30+00:00,"size_categories:100K<n<1M,format:parquet,modality:text,library:datasets,library:dask,library:mlcroissant,library:polars,region:us"
xuyige/CrossMath,xuyige,772,0,2026-04-20 11:34:25+00:00,2026-04-20 11:40:31+00:00,"license:cc-by-nc-nd-4.0,size_categories:1K<n<10K,format:imagefolder,modality:image,library:datasets,library:mlcroissant,region:us"
zwq2018/embodied_reasoner,zwq2018,761,21,2025-03-19 14:23:34+00:00,2025-04-21 13:49:38+00:00,"task_categories:image-text-to-text,language:en,size_categories:10K<n<100K,modality:image,arxiv:2503.21696,region:us,Reasoning,Long CoT,Multimodal Reasoning,Embodied,Robot,AI2-THOR"
